Family,NABAEnglishName,NABAScientificName
Hesperiidae,acacia skipper,Cogia_hippalus
Hesperiidae,afranius duskywing,Erynnis_afranius
Hesperiidae,arizona giant skipper,Agathymus_aryxna
Hesperiidae,arizona powdered skipper,Systasea_zampa
Hesperiidae,arizona skipper,Codatractus_arizonensis
Hesperiidae,brazilian skipper,Calpodes_ethlius
Hesperiidae,bronze roadside skipper,Amblyscirtes_aenus
Hesperiidae,carus skipper,Polites_carus
Hesperiidae,cassus roadside skipper,Amblyscirtes_cassus
Hesperiidae,cestus skipper,Atrytonopsis_cestus
Hesperiidae,clouded skipper,Lerema_accius
Hesperiidae,common branded skipper,Hesperia_comma
Hesperiidae,common checkered skipper,Pyrgus_communis
Hesperiidae,common sootywing,Pholisora_catullus
Hesperiidae,common streaky skipper,Celotes_nessus
Hesperiidae,desert checkered skipper,Pyrgus_philetas
Hesperiidae,desert cloudywing,Achalarus_casica
Hesperiidae,dorantes longtail,Urbanus_dorantes
Hesperiidae,dotted roadside skipper,Amblyscirtes_eos
Hesperiidae,draco skipper,Polites_draco
Hesperiidae,dreamy duskywing,Erynnis_icelus
Hesperiidae,drusius cloudywing,Thorybes_drusius
Hesperiidae,dull firetip,Pyrrhopyge_araxes
Hesperiidae,dun skipper,Euphyes_vestris
Hesperiidae,edwards skipperling,Oarisma_edwardsii
Hesperiidae,elissa roadside skipper,Amblyscirtes_elissa
Hesperiidae,erichson's white skipper,Heliopetes_domicella
Hesperiidae,eufala skipper,Lerodea_eufala
Hesperiidae,fiery skipper,Hylephila_phyleus
Hesperiidae,four spotted skipperling,Piruna_polingi
Hesperiidae,funereal duskywing,Erynnis_funeralis
Hesperiidae,garita skipperling,Oarisma_garita
Hesperiidae,gold costa skipper,Cogia_caicus
Hesperiidae,golden banded skipper,Autochton_cellus
Hesperiidae,golden headed scallopwing,Staphylus_ceos
Hesperiidae,hammock skipper,Polygonus_leo
Hesperiidae,juvenal's duskywing,Erynnis_juvenalis
Hesperiidae,large roadside skipper,Amblyscirtes_exoteria
Hesperiidae,laviana white skipper,Heliopetes_laviana
Hesperiidae,long tailed skipper,Urbanus_proteus
