Year,Month,Day,Site,total_butterly_count,Unique_butterflies,PartyHours,X.Parties
1979,7,15,RamseyCanyonAZ,2432,65,32,4
1980,7,13,RamseyCanyonAZ,2053,47,17,3
1980,7,15,SpringervilleAZ,906,62,9,1
1980,7,19,AtascosaHighlandsAZ,660,42,26,4
1981,7,19,RamseyCanyonAZ,1713,64,27,4
1983,7,30,AtascosaHighlandsAZ,1568,67,26,4
1983,8,6,RamseyCanyonAZ,5934,94,56,9
1984,8,5,AtascosaHighlandsAZ,4979,79,41,5
1984,8,11,RamseyCanyonAZ,2972,73,58.5,8
1985,8,10,RamseyCanyonAZ,2067,79,52,6
1985,8,17,AtascosaHighlandsAZ,3933,67,22,3
1986,8,4,GuadalupeCanyonAZNM,400,64,10,2
1986,8,16,RamseyCanyonAZ,4643,80,52,7
1986,8,23,PatagoniaAZ,4454,76,54,6
1986,8,30,AtascosaHighlandsAZ,4266,68,35,5
1987,8,9,RamseyCanyonAZ,10507,68,69,8
1987,8,15,PatagoniaAZ,1440,70,54,5
1987,8,22,AtascosaHighlandsAZ,3197,64,35,4
1988,7,30,RamseyCanyonAZ,3514,61,28,3
1988,8,6,PatagoniaAZ,1856,75,52,6
1988,8,13,AtascosaHighlandsAZ,2788,74,33.5,4
1989,8,6,RamseyCanyonAZ,1180,79,61,6
1989,8,13,PatagoniaAZ,1741,88,65,8
1989,8,20,AtascosaHighlandsAZ,1934,77,56,7
1990,8,4,RamseyCanyonAZ,3128,89,55,5
1990,8,11,PatagoniaAZ,3074,80,37,6
1990,8,18,AtascosaHighlandsAZ,8419,92,50,6
1991,7,27,SabinoCanyonAZ,66,8,4,2
1991,7,30,RamseyCanyonAZ,3699,96,61.5,8
1991,8,6,PatagoniaAZ,3386,91,61,7
1991,8,10,AtascosaHighlandsAZ,964,66,43.5,5
1992,7,26,SabinoCanyonAZ,190,24,4.5,2
1992,8,2,RamseyCanyonAZ,2624,87,55,7
1992,8,9,PatagoniaAZ,4240,100,56.5,7
1992,8,16,AtascosaHighlandsAZ,4470,97,62,8
1993,7,30,SabinoCanyonAZ,337,36,5,2
1993,7,31,RamseyCanyonAZ,2931,97,45.5,4
1993,8,7,PatagoniaAZ,3253,96,55,6
1993,8,14,AtascosaHighlandsAZ,1641,73,45,5
1994,7,22,SabinoCanyonAZ,804,46,24,6
1994,7,30,RamseyCanyonAZ,1410,81,44,5
1994,8,6,PatagoniaAZ,2640,86,75,7
1994,8,13,AtascosaHighlandsAZ,3570,64,28,4
1995,7,29,SabinoCanyonAZ,1054,23,18,2
1995,8,6,RamseyCanyonAZ,4202,101,70,7
1995,8,13,PatagoniaAZ,5477,89,60,1
1995,8,20,AtascosaHighlandsAZ,2571,75,51,7
1996,7,27,SabinoCanyonAZ,118,16,16,3
1996,8,5,RamseyCanyonAZ,3263,94,67.5,8
1996,8,11,PatagoniaAZ,1756,75,40,5
1996,8,18,AtascosaHighlandsAZ,7958,67,42,7
1997,7,26,SabinoCanyonAZ,116,16,19,4
1997,8,2,RamseyCanyonAZ,4679,101,58,8
1997,8,9,PatagoniaAZ,5000,81,51,5
1997,8,16,AtascosaHighlandsAZ,5295,80,49,6
1998,8,1,RamseyCanyonAZ,3130,89,56.5,7
1998,8,1,SabinoCanyonAZ,222,22,7.5,2
1998,8,8,PatagoniaAZ,5886,96,66.5,6
1998,8,15,AtascosaHighlandsAZ,4087,85,53.5,6
1999,7,23,SycamoreCreekAZ,195,14,10,4
1999,8,3,RamseyCanyonAZ,2750,86,76,8
1999,8,9,PatagoniaAZ,2573,87,72.5,9
1999,8,14,AtascosaHighlandsAZ,3688,79,64,7
1999,8,28,PortalAZ,5874,81,62,8
2000,7,22,SycamoreCreekAZ,54,5,6,3
2000,7,26,SabinoCanyonAZ,978,36,21.5,3
2000,7,29,PortalAZ,2106,76,45,5
2000,8,5,RamseyCanyonAZ,7077,88,56,6
2000,8,12,PatagoniaAZ,11347,84,64,8
2000,8,19,AtascosaHighlandsAZ,8752,73,65,9
2001,7,18,SabinoCanyonAZ,384,42,23,4
2001,7,28,PortalAZ,2056,85,28.5,5
2001,8,4,RamseyCanyonAZ,4023,100,63,8
2001,8,11,PatagoniaAZ,6171,98,75,7
2001,8,18,AtascosaHighlandsAZ,6071,79,56,6
2002,7,27,PortalAZ,140,31,25,3
2002,7,31,SabinoCanyonAZ,72,19,15,3
2002,8,3,RamseyCanyonAZ,493,52,52,6
2002,8,10,PatagoniaAZ,747,54,47.5,6
2003,7,26,PortalAZ,1033,56,16,2
2003,8,2,RamseyCanyonAZ,1327,68,47,5
2003,8,9,PatagoniaAZ,3310,78,43.5,6
2004,7,28,SycamoreCreekAZ,135,17,5.3,3
2004,7,31,RamseyCanyonAZ,2875,89,43.5,5
2004,8,7,PatagoniaAZ,3353,91,38,5
2004,8,14,PortalAZ,685,60,33.5,4
2005,7,31,RamseyCanyonAZ,2117,85,54.5,5
2005,8,6,PatagoniaAZ,2860,76,61.5,10
2005,8,13,PortalAZ,591,56,32,4
2006,7,29,RamseyCanyonAZ,761,64,49,6
2006,8,5,PatagoniaAZ,2179,70,35,6
2007,8,11,BoyceThompsonArboretum,321,31,15,3
2007,8,11,RamseyCanyonAZ,2245,88,50,5
2007,8,18,PatagoniaAZ,2430,85,58,7
2008,7,19,SabinoCanyonAZ,222,32,14,2
2008,8,2,RamseyCanyonAZ,1277,90,54,7
2008,8,9,PatagoniaAZ,3044,87,56,7
2009,7,18,SabinoCanyonAZ,508,49,18,4
2009,7,25,PortalAZ,875,61,20,3
2009,8,1,RamseyCanyonAZ,2081,93,45,7
