Year,Month,Day,Site,total_butterly_count,Unique_butterflies,PartyHours,X.Parties
2011,4,2,SabinoCanyonAZ,580,48,38,8
2012,3,25,SabinoCanyonAZ,1087,63,46.5,8
2013,4,7,SabinoCanyonAZ,1265,60,45.5,7
2014,4,6,SabinoCanyonAZ,2477,57,50,8
2015,3,29,SabinoCanyonAZ,3349,66,64.5,9
2015,5,31,GrandCanyonDesertView,127,29,6,1
2015,6,14,GrandCanyonSouthRim,127,24,6,1
2016,4,3,SabinoCanyonAZ,1678,60,56.5,10
2017,3,26,SabinoCanyonAZ,2193,62,58,10
2017,4,8,McDowellSonoranPreserve,156,29,19,5
2018,4,3,SabinoCanyonAZ,855,54,51.5,9
2018,4,7,McDowellSonoranPreserve,29,8,13.5,5
2019,4,6,McDowellSonoranPreserve,530,34,16,5
2020,4,3,SabinoCanyonAZ,2618,66,62,11
2020,4,4,McDowellSonoranPreserve,119,22,16.5,5
2021,3,28,SabinoCanyonAZ,376,27,49,12
2021,4,3,McDowellSonoranPreserve,62,11,16.5,6
